GTId,GameId,TagId
1,10,9
2,10,11
3,10,8
4,10,19
5,20,9
6,20,11
7,20,8
8,20,19
9,30,9
10,30,19
11,40,9
12,40,11
13,40,8
14,40,19
15,50,14
16,50,9
17,50,19
18,60,9
19,60,11
20,60,19
21,70,14
22,70,9
23,70,11
24,70,16
25,70,19
26,80,14
27,80,9
28,80,19
29,130,14
30,220,14
31,220,15
32,220,18
33,220,1
34,220,12
35,220,16
36,220,6
37,240,9
38,240,4
39,240,15
40,240,16
41,240,19
42,240,14
43,240,6
44,280,14
45,300,9
46,300,4
47,300,15
48,300,18
49,300,19
50,300,14
51,300,6
52,320,9
53,320,19
54,320,6
55,340,14
56,340,2
57,360,9
58,360,19
59,380,14
60,380,15
61,380,1
62,380,12
63,380,16
64,380,14
65,380,6
66,380,2
67,400,14
68,400,15
69,400,1
70,400,12
71,400,6
72,400,6
73,400,2
74,420,14
75,420,15
76,420,1
77,420,12
78,420,16
79,420,14
80,420,6
81,420,2
82,440,9
83,440,4
84,440,15
85,440,18
86,440,1
87,440,19
88,440,6
89,440,12
90,440,19
91,440,14
92,440,6
93,440,2
94,500,14
95,500,9
96,500,3
97,500,15
98,500,5
99,500,1
100,500,16
101,500,19
102,500,14
103,500,17
104,500,6
105,500,2
106,550,14
107,550,9
108,550,3
109,550,15
110,550,5
111,550,18
112,550,1
113,550,19
114,550,16
115,550,19
116,550,14
117,550,6
118,550,2
119,570,9
120,570,3
121,570,18
122,570,19
123,570,19
124,570,6
125,570,19
126,620,14
127,620,3
128,620,15
129,620,5
130,620,18
131,620,1
132,620,19
133,620,16
134,620,14
135,620,6
136,620,2
137,630,14
138,630,9
139,630,3
140,630,15
141,630,1
142,630,16
143,630,14
144,630,6
145,730,9
146,730,15
147,730,5
148,730,18
149,730,19
150,730,6
151,730,19
152,730,14
153,1002,14
154,1002,9
155,1200,9
156,1200,15
157,1200,19
158,1250,14
159,1250,9
160,1250,3
161,1250,4
162,1250,15
163,1250,18
164,1250,19
165,1250,19
166,1250,14
167,1250,6
168,1300,14
169,1300,14
170,1500,14
171,1510,14
172,1520,14
173,1520,9
174,1530,14
175,1530,9
176,1530,15
177,1600,14
178,1600,9
179,1610,14
180,1610,9
181,1630,14
182,1630,9
183,1630,3
184,1640,14
185,1640,9
186,1640,3
187,1670,14
188,1670,9
189,1690,14
190,1690,9
191,1700,14
192,1840,19
193,1900,14
194,1900,9
195,1900,3
196,1900,4
197,1900,18
198,1930,14
199,1930,9
200,1930,11
201,1930,10
202,1930,4
203,1930,18
204,1930,12
205,2100,14
206,2100,9
207,2100,19
208,2200,14
209,2200,9
210,2200,16
211,2210,14
212,2210,9
213,2210,16
214,2270,14
215,2270,16
216,2280,14
217,2280,16
218,2290,14
219,2290,16
220,2300,14
221,2300,9
222,2300,16
223,2310,14
224,2310,9
225,2310,3
226,2310,16
227,2320,14
228,2320,9
229,2320,3
230,2320,16
231,2330,14
232,2330,9
233,2330,16
234,2340,14
235,2340,9
236,2340,16
237,2350,14
238,2350,9
239,2350,16
240,2360,14
241,2360,16
242,2370,14
243,2370,16
244,2390,14
245,2390,9
246,2390,16
247,2400,14
248,2400,9
249,2400,18
250,2400,19
251,2450,14
252,2450,9
253,2450,15
254,2500,14
255,2500,13
256,2500,18
257,2520,14
258,2590,14
259,2600,14
260,2610,14
261,2620,14
262,2620,9
263,2630,14
264,2630,9
265,2640,14
266,2640,9
267,2710,14
268,2710,9
269,2720,14
270,2720,9
271,2720,6
272,2780,14
273,2780,9
274,2780,6
275,2800,14
276,2800,1
277,2800,16
278,2810,14
279,2810,1
280,2810,16
281,2820,14
282,2820,15
283,2820,5
284,2820,1
285,2820,16
286,2840,14
287,2840,16
288,2850,14
289,2850,16
290,2870,14
291,2870,15
292,2870,5
293,2870,18
294,2870,1
295,2870,19
296,2870,16
297,2900,14
298,2900,9
299,2910,14
300,2920,14
301,2920,9
302,2920,3
303,2920,6
304,2990,14
305,3010,14
306,3010,9
307,3020,14
308,3020,9
309,3020,18
310,3050,14
311,3050,9
312,3130,14
313,3130,16
314,3170,14
315,3170,16
316,3230,14
317,3230,9
318,3260,14
319,3270,14
320,3270,9
321,3330,14
322,3410,14
323,3480,14
324,3483,14
325,3490,14
326,3500,14
327,3510,14
328,3520,14
329,3530,14
330,3540,14
331,3560,14
332,3570,14
333,3580,14
334,3590,14
335,3590,15
336,3600,14
337,3610,14
338,3620,14
339,3620,15
340,3620,14
341,3700,14
342,3700,18
343,3710,14
344,3710,9
345,3710,3
346,3720,14
347,3730,14
348,3730,9
349,3800,14
350,3800,18
351,3810,14
352,3810,18
353,3820,14
354,3820,18
355,3830,14
356,3830,15
357,3830,18
358,3830,12
359,3830,16
360,3900,14
361,3900,9
362,3900,6
363,3910,14
364,3910,9
365,3910,6
366,3920,14
367,3960,14
368,3960,9
369,3980,14
370,3990,14
371,4000,14
372,4000,9
373,4000,3
374,4000,4
375,4000,15
376,4000,18
377,4000,1
378,4000,19
379,4000,16
380,4000,19
381,4000,6
382,4100,14
383,4230,14
384,4230,9
385,4290,14
386,4290,9
387,4300,14
388,4300,12
389,4300,6
390,4420,14
391,4460,14
392,4470,14
393,4470,9
394,4500,14
395,4500,9
396,4520,14
397,4520,9
398,4520,3
399,4530,14
400,4530,9
401,4530,3
402,4560,14
403,4560,9
404,4560,18
405,4560,19
406,4560,16
407,4570,14
408,4570,9
409,4570,18
410,4570,16
411,4580,14
412,4580,9
413,4580,16
414,4700,14
415,4700,9
416,4700,18
417,4720,14
418,4760,14
419,4760,9
420,4760,18
421,4770,14
422,4770,9
423,4780,14
424,4780,9
425,4800,14
426,4800,9
427,4850,14
428,4850,9
429,4870,14
430,4880,14
431,4890,14
432,4890,9
433,4890,11
434,4890,8
435,4900,14
436,4920,9
437,4920,11
438,4920,15
439,4920,18
440,4920,19
441,4920,16
442,4920,19
443,4920,6
444,6000,14
445,6000,9
446,6000,8
447,6000,16
448,6010,14
449,6010,16
450,6020,14
451,6020,11
452,6020,8
453,6020,12
454,6020,16
455,6030,14
456,6030,11
457,6030,8
458,6030,12
459,6030,16
460,6040,14
461,6040,16
462,6060,14
463,6060,9
464,6060,11
465,6060,12
466,6060,16
467,6080,14
468,6080,8
469,6080,3
470,6080,7
471,6080,13
472,6080,12
473,6080,16
474,6090,14
475,6090,16
476,6120,14
477,6120,13
478,6120,15
479,6120,5
480,6120,16
481,6200,14
482,6210,14
483,6220,14
484,6220,9
485,6250,14
486,6250,9
487,6270,14
488,6270,9
489,6300,14
490,6310,14
491,6370,14
492,6370,9
493,6370,8
494,6400,14
495,6400,9
496,6400,3
497,6400,13
498,6420,14
499,6420,9
500,6420,6
501,6510,14
502,6510,9
503,6510,12
504,6510,19
505,6550,14
506,6550,12
507,6800,14
508,6800,9
509,6800,3
510,6810,14
511,6810,9
512,6810,3
513,6830,14
514,6830,9
515,6830,3
516,6840,14
517,6840,9
518,6840,3
519,6850,14
520,6860,14
521,6870,14
522,6880,14
523,6900,14
524,6910,14
525,6910,9
526,6920,14
527,6980,14
528,7000,14
529,7000,12
530,7010,14
531,7010,9
532,7020,14
533,7020,9
534,7020,3
535,7110,14
536,7110,12
537,7200,14
538,7200,9
539,7200,6
540,7210,14
541,7220,14
542,7260,14
543,7260,9
544,7340,14
545,7510,14
546,7510,18
547,7510,12
548,7520,14
549,7520,9
550,7520,11
551,7520,3
552,7520,10
553,7520,4
554,7520,15
555,7520,5
556,7520,18
557,7520,6
558,7520,16
559,7530,14
560,7530,18
561,7530,16
562,7600,14
563,7600,9
564,7610,14
565,7610,9
566,7620,14
567,7650,14
568,7660,14
569,7730,14
570,7730,9
571,7760,14
572,7770,14
573,7770,9
574,7830,14
575,7830,9
576,7830,16
577,7830,6
578,7840,14
579,7840,16
580,7860,14
581,7860,9
582,7860,16
583,7940,14
584,7940,9
585,8000,14
586,8000,12
587,8080,14
588,8080,9
589,8080,13
590,8080,12
591,8100,14
592,8140,14
593,8170,14
594,8170,9
595,8170,12
596,8190,14
597,8190,15
598,8190,5
599,8190,16
600,8310,14
601,8320,14
602,8330,14
603,8340,14
604,8400,14
605,8400,5
606,8500,9
607,8500,11
608,8500,8
609,8500,3
610,8500,10
611,8500,18
612,8600,14
613,8600,9
614,8790,14
615,8790,9
616,8800,14
617,8870,14
618,8870,15
619,8870,5
620,8870,18
621,8870,16
622,8880,14
623,8880,9
624,8890,14
625,8890,9
626,8930,14
627,8930,9
628,8930,15
629,8930,18
630,8930,16
631,8970,14
632,8970,15
633,9000,14
634,9000,16
635,9010,14
636,9010,9
637,9010,16
638,9030,14
639,9030,9
640,9030,16
641,9040,14
642,9040,9
643,9040,16
644,9050,14
645,9050,9
646,9050,16
647,9060,14
648,9060,9
649,9060,3
650,9060,16
651,9160,14
652,9160,16
653,9180,14
654,9180,16
655,9200,14
656,9200,9
657,9200,3
658,9200,15
659,9200,12
660,9310,14
661,9310,9
662,9340,14
663,9340,9
664,9340,16
665,9350,14
666,9350,9
667,9420,14
668,9420,9
669,9450,14
670,9450,9
671,9450,16
672,9460,14
673,9460,3
674,9460,16
675,9480,14
676,9480,16
677,9500,14
678,9500,9
679,9710,14
680,9760,14
681,9760,9
682,9800,14
683,9800,16
684,9850,14
685,9850,9
686,9850,3
687,9880,9
688,9880,8
689,9880,3
690,9880,15
691,9900,9
692,9900,8
693,9900,3
694,9900,15
695,9900,5
696,9900,6
697,9940,14
698,9940,15
699,9940,18
700,9940,12
701,9940,16
702,9960,14
703,9960,12
704,9970,14
705,9970,12
706,9980,14
707,10090,14
708,10090,9
709,10090,3
710,10100,14
711,10110,14
712,10120,14
713,10130,14
714,10130,9
715,10140,14
716,10150,14
717,10180,14
718,10180,9
719,10180,3
720,10180,15
721,10180,16
722,10180,19
723,10220,14
724,10220,15
725,10230,14
726,10240,14
727,10250,14
728,10250,9
729,10260,14
730,10260,9
731,10270,14
732,10270,9
733,10460,14
734,10460,9
735,10460,12
736,10500,14
737,10500,9
738,10500,15
739,10500,18
740,10500,14
741,10680,14
742,10680,9
743,10680,3
744,10680,15
745,10680,16
746,10680,14
747,10680,17
748,11020,14
749,11020,9
750,11020,6
751,11040,14
752,11050,14
753,11130,14
754,11140,14
755,11150,14
756,11190,14
757,11200,14
758,11200,13
759,11200,18
760,11200,6
761,11230,14
762,11230,9
763,11240,14
764,11240,9
765,11240,3
766,11240,15
767,11250,14
768,11250,9
769,11250,18
770,11260,14
771,11260,9
772,11260,18
773,11280,14
774,11280,9
775,11280,11
776,11280,18
777,11330,14
778,11330,15
779,11340,14
780,11340,15
781,11360,14
782,11450,14
783,11450,12
784,11480,14
785,11480,9
786,11480,3
787,11560,14
788,11590,14
789,12100,14
790,12100,12
791,12110,14
792,12110,12
793,12120,14
794,12130,14
795,12140,14
796,12150,14
797,12170,14
798,12180,14
799,12200,14
800,12200,12
801,12210,14
802,12210,9
803,12210,12
804,12220,14
805,12220,9
806,12310,14
807,12320,14
808,12330,14
809,12340,14
810,12340,18
811,12360,14
812,12360,9
813,12390,14
814,12390,9
815,12390,12
816,12420,14
817,12420,9
818,12430,14
819,12440,14
820,12450,14
821,12460,14
822,12460,9
823,12470,14
824,12480,14
825,12500,14
826,12500,9
827,12500,16
828,12510,14
829,12520,14
830,12530,14
831,12540,14
832,12560,14
833,12590,14
834,12590,9
835,12600,14
836,12640,14
837,12670,14
838,12710,14
839,12710,12
840,12770,14
841,12770,5
842,12790,14
843,12790,9
844,12790,3
845,12810,14
846,12830,14
847,12830,12
848,13000,14
849,13000,9
850,13000,15
851,13140,14
852,13140,9
853,13140,15
854,13140,16
855,13200,14
856,13210,14
857,13210,9
858,13210,3
859,13210,15
860,13230,14
861,13230,9
862,13230,18
863,13240,14
864,13240,9
