GGLinkerId,GameId,GenreId
1,10,1
2,20,1
3,30,1
4,40,1
5,50,1
6,60,1
7,70,1
8,80,1
9,130,1
10,220,1
11,240,1
12,280,1
13,300,1
14,320,1
15,340,1
16,360,1
17,380,1
18,400,1
19,420,1
20,440,1
21,440,8
22,500,1
23,550,1
24,570,1
25,570,8
26,570,20
27,620,1
28,620,2
29,630,1
30,730,1
31,730,8
32,1002,11
33,1200,1
34,1250,1
35,1300,1
36,1500,11
37,1500,20
38,1510,11
39,1510,20
40,1520,11
41,1520,20
42,1530,11
43,1600,20
44,1610,20
45,1630,20
46,1640,20
47,1670,20
48,1690,20
49,1700,15
50,1840,3
51,1840,22
52,1900,20
53,1930,15
54,2100,1
55,2100,15
56,2200,1
57,2210,1
58,2270,1
59,2280,1
60,2290,1
61,2300,1
62,2310,1
63,2320,1
64,2330,1
65,2340,1
66,2350,1
67,2360,1
68,2370,1
69,2390,1
70,2400,1
71,2400,11
72,2400,15
73,2450,1
74,2500,1
75,2520,5
76,2520,11
77,2590,1
78,2600,1
79,2610,1
80,2620,1
81,2630,1
82,2640,1
83,2710,1
84,2720,1
85,2720,11
86,2720,20
87,2780,1
88,2800,20
89,2810,20
90,2820,1
91,2820,17
92,2820,20
93,2840,17
94,2840,20
95,2850,17
96,2850,20
97,2870,1
98,2870,17
99,2900,20
100,2910,20
101,2920,20
102,2990,14
103,3010,14
104,3020,1
105,3050,14
106,3130,20
107,3170,15
108,3170,20
109,3230,20
110,3260,2
111,3260,5
112,3270,1
113,3330,5
114,3410,5
115,3480,5
116,3483,5
117,3490,5
118,3500,5
119,3510,5
120,3520,5
121,3530,5
122,3540,5
123,3560,20
124,3560,5
125,3570,5
126,3580,5
127,3590,20
128,3600,5
129,3610,5
130,3620,1
131,3620,5
132,3700,1
133,3710,1
134,3720,20
135,3730,1
136,3800,1
137,3810,1
138,3820,1
139,3830,1
140,3900,20
141,3910,20
142,3920,15
143,3960,20
144,3980,20
145,3990,20
146,4000,11
147,4000,17
148,4100,5
149,4100,20
150,4100,11
151,4230,14
152,4290,14
153,4300,1
154,4300,11
155,4420,15
156,4460,17
157,4460,20
158,4470,15
159,4500,1
160,4500,15
161,4520,1
162,4520,20
163,4530,1
164,4530,20
165,4560,23
166,4560,1
167,4560,20
168,4570,20
169,4580,20
170,4700,20
171,4720,1
172,4760,20
173,4770,20
174,4780,20
175,4800,20
176,4850,20
177,4870,20
178,4880,20
179,4890,20
180,4900,5
181,4900,11
182,4920,1
183,4920,11
184,4920,20
185,6000,1
186,6010,2
187,6020,1
188,6030,1
189,6040,2
190,6060,1
191,6080,1
192,6080,2
193,6080,14
194,6080,17
195,6080,20
196,6090,1
197,6120,1
198,6120,11
199,6200,20
200,6210,20
201,6220,14
202,6250,1
203,6250,20
204,6270,14
205,6300,2
206,6300,15
207,6310,1
208,6310,2
209,6310,15
210,6370,1
211,6370,8
212,6370,12
213,6400,1
214,6400,20
215,6420,11
216,6420,17
217,6420,20
218,6510,1
219,6510,2
220,6550,1
221,6800,1
222,6810,1
223,6830,1
224,6840,1
225,6850,1
226,6860,1
227,6870,1
228,6880,1
229,6900,1
230,6910,1
231,6920,1
232,6980,1
233,7000,1
234,7000,2
235,7010,1
236,7020,1
237,7110,15
238,7200,14
239,7210,2
240,7220,2
241,7260,15
242,7340,5
243,7340,11
244,7510,13
245,7510,23
246,7510,1
247,7510,2
248,7510,15
249,7520,13
250,7520,23
251,7520,15
252,7530,20
253,7600,20
254,7610,20
255,7620,20
256,7650,20
257,7660,20
258,7730,20
259,7760,20
260,7770,20
261,7830,20
262,7840,14
263,7860,1
264,7940,1
265,8000,1
266,8000,2
267,8080,1
268,8100,1
269,8140,1
270,8140,2
271,8170,1
272,8170,20
273,8190,1
274,8190,2
275,8310,2
276,8320,2
277,8330,5
278,8340,2
279,8400,5
280,8500,1
281,8500,8
282,8500,12
283,8500,15
284,8500,20
285,8600,14
286,8790,14
287,8790,17
288,8790,19
289,8800,20
290,8870,1
291,8880,15
292,8880,20
293,8890,15
294,8890,20
295,8930,20
296,8970,11
297,9000,1
298,9010,1
299,9030,1
300,9040,1
301,9050,1
302,9060,1
303,9160,1
304,9180,1
305,9200,1
306,9310,20
307,9340,1
308,9340,20
309,9350,20
310,9420,20
311,9450,20
312,9460,1
313,9480,1
314,9500,11
315,9710,1
316,9760,1
317,9800,1
318,9800,2
319,9850,17
320,9850,20
321,9880,8
322,9880,12
323,9880,15
324,9900,8
325,9900,12
326,9900,15
327,9940,1
328,9940,2
329,9960,2
330,9970,1
331,9980,5
332,10090,1
333,10100,2
334,10110,2
335,10120,1
336,10120,5
337,10130,1
338,10140,19
339,10150,1
340,10150,2
341,10180,1
342,10220,1
343,10230,2
344,10240,2
345,10250,17
346,10260,17
347,10270,15
348,10270,20
349,10460,1
350,10500,20
351,10680,1
352,11020,14
353,11040,2
354,11040,15
355,11050,2
356,11130,2
357,11140,2
358,11150,2
359,11190,2
360,11190,15
361,11200,1
362,11230,5
363,11230,11
364,11230,14
365,11240,1
366,11240,11
367,11240,20
368,11250,17
369,11250,20
370,11260,17
371,11260,20
372,11280,1
373,11280,5
374,11280,11
375,11330,5
376,11330,11
377,11340,1
378,11340,11
379,11360,11
380,11450,15
381,11480,20
382,11560,20
383,11590,17
384,12100,1
385,12110,1
386,12120,1
387,12130,1
388,12140,1
389,12150,1
390,12170,1
391,12180,1
392,12200,1
393,12200,2
394,12210,1
395,12210,2
396,12220,1
397,12310,15
398,12310,5
399,12310,2
400,12320,1
401,12320,15
402,12330,1
403,12340,2
404,12360,14
405,12390,1
406,12420,20
407,12430,5
408,12440,2
409,12450,2
410,12460,20
411,12470,20
412,12480,20
413,12500,5
414,12510,20
415,12520,14
416,12530,1
417,12530,2
418,12530,20
419,12540,5
420,12560,17
421,12590,14
422,12600,14
423,12640,15
424,12670,17
425,12710,15
426,12770,15
427,12790,1
428,12790,2
