GPId,GameId,PlatformId
1,10,3
2,10,2
3,10,1
4,20,3
5,20,2
6,20,1
7,30,3
8,30,2
9,30,1
10,40,3
11,40,2
12,40,1
13,50,3
14,50,2
15,50,1
16,60,3
17,60,2
18,60,1
19,70,3
20,70,2
21,70,1
22,80,3
23,80,2
24,80,1
25,130,3
26,130,2
27,130,1
28,220,3
29,220,2
30,220,1
31,240,3
32,240,2
33,240,1
34,280,3
35,280,2
36,280,1
37,300,3
38,300,2
39,300,1
40,320,3
41,320,2
42,320,1
43,340,3
44,340,2
45,340,1
46,360,3
47,360,2
48,360,1
49,380,3
50,380,2
51,380,1
52,400,3
53,400,2
54,400,1
55,420,3
56,420,2
57,420,1
58,440,3
59,440,2
60,440,1
61,500,3
62,500,2
63,550,3
64,550,2
65,550,1
66,570,3
67,570,2
68,570,1
69,620,3
70,620,2
71,620,1
72,630,3
73,730,3
74,730,2
75,730,1
76,1002,3
77,1200,3
78,1200,2
79,1200,1
80,1250,3
81,1250,2
82,1250,1
83,1300,3
84,1500,3
85,1500,2
86,1500,1
87,1510,3
88,1510,2
89,1510,1
90,1520,3
91,1520,2
92,1520,1
93,1530,3
94,1530,2
95,1600,3
96,1610,3
97,1630,3
98,1640,3
99,1670,3
100,1690,3
101,1700,3
102,1840,3
103,1900,3
104,1900,2
105,1900,1
106,1930,3
107,1930,2
108,1930,1
109,2100,3
110,2200,3
111,2210,3
112,2270,3
113,2280,3
114,2290,3
115,2300,3
116,2310,3
117,2320,3
118,2330,3
119,2340,3
120,2350,3
121,2360,3
122,2370,3
123,2390,3
124,2400,3
125,2450,3
126,2500,3
127,2500,2
128,2520,3
129,2590,3
130,2600,3
131,2610,3
132,2620,3
133,2630,3
134,2630,2
135,2640,3
136,2710,3
137,2720,3
138,2780,3
139,2800,3
140,2810,3
141,2810,2
142,2810,1
143,2820,3
144,2820,2
145,2820,1
146,2840,3
147,2850,3
148,2870,3
149,2870,2
150,2870,1
151,2900,3
152,2910,3
153,2920,3
154,2990,3
155,3010,3
156,3020,3
157,3050,3
158,3130,3
159,3170,3
160,3170,2
161,3230,3
162,3260,3
163,3270,3
164,3330,3
165,3330,2
166,3410,3
167,3480,3
168,3480,2
169,3483,3
170,3490,3
171,3500,3
172,3510,3
173,3520,3
174,3530,3
175,3540,3
176,3540,2
177,3560,3
178,3570,3
179,3580,3
180,3590,3
181,3590,2
182,3600,3
183,3600,2
184,3610,3
185,3620,3
186,3700,3
187,3710,3
188,3720,3
189,3730,3
190,3800,3
191,3810,3
192,3820,3
193,3830,3
194,3830,2
195,3830,1
196,3900,3
197,3900,2
198,3910,3
199,3920,3
200,3960,3
201,3980,3
202,3990,3
203,3990,2
204,4000,3
205,4000,2
206,4000,1
207,4100,3
208,4230,3
209,4290,3
210,4300,3
211,4420,3
212,4460,3
213,4470,3
214,4500,3
215,4520,3
216,4530,3
217,4560,3
218,4570,3
219,4580,3
220,4700,3
221,4700,2
222,4700,1
223,4720,3
224,4760,3
225,4770,3
226,4780,3
227,4780,2
228,4780,1
229,4800,3
230,4850,3
231,4870,3
232,4880,3
233,4890,3
234,4900,3
235,4920,3
236,4920,1
237,6000,3
238,6010,3
239,6010,2
240,6020,3
241,6020,2
242,6030,3
243,6030,2
244,6040,3
245,6040,2
246,6060,3
247,6080,3
248,6090,3
249,6120,3
250,6120,2
251,6120,1
252,6200,3
253,6210,3
254,6220,3
255,6250,3
256,6270,3
257,6300,3
258,6310,3
259,6370,3
260,6400,3
261,6420,3
262,6510,3
263,6550,3
264,6800,3
265,6810,3
266,6830,3
267,6840,3
268,6850,3
269,6860,3
270,6870,3
271,6880,3
272,6900,3
273,6910,3
274,6920,3
275,6980,3
276,7000,3
277,7010,3
278,7020,3
279,7110,3
280,7200,3
281,7210,3
282,7220,3
283,7260,3
284,7340,3
285,7510,3
286,7510,2
287,7510,1
288,7520,3
289,7520,2
290,7530,3
291,7530,2
292,7600,3
293,7600,2
294,7610,3
295,7620,3
296,7650,3
297,7660,3
298,7730,3
299,7760,3
300,7770,3
301,7830,3
302,7840,3
303,7860,3
304,7940,3
305,7940,2
306,8000,3
307,8080,3
308,8100,3
309,8140,3
310,8170,3
311,8190,3
312,8310,3
313,8320,3
314,8330,3
315,8340,3
316,8340,2
317,8400,3
318,8500,3
319,8500,2
320,8600,3
321,8790,3
322,8800,3
323,8800,2
324,8870,3
325,8870,2
326,8870,1
327,8880,3
328,8890,3
329,8930,3
330,8930,2
331,8930,1
332,8970,3
333,9000,3
334,9010,3
335,9030,3
336,9040,3
337,9050,3
338,9060,3
339,9160,3
340,9180,3
341,9200,3
342,9310,3
343,9340,3
344,9350,3
345,9420,3
346,9450,3
347,9460,3
348,9480,3
349,9480,1
350,9500,3
351,9500,2
352,9710,3
353,9760,3
354,9800,3
355,9850,3
356,9880,3
357,9900,3
358,9940,3
359,9960,3
360,9970,3
361,9980,3
362,10090,3
363,10100,3
364,10110,3
365,10120,3
366,10130,3
367,10140,3
368,10150,3
369,10180,3
370,10180,2
371,10220,3
372,10230,3
373,10240,3
374,10250,3
375,10260,3
376,10270,3
377,10460,3
378,10500,3
379,10500,2
380,10500,1
381,10680,3
382,11020,3
383,11040,3
384,11050,3
385,11130,3
386,11140,3
387,11150,3
388,11190,3
389,11200,3
390,11200,2
391,11230,3
392,11240,3
393,11250,3
394,11260,3
395,11280,3
396,11280,2
397,11330,3
398,11340,3
