TagId,TagName
1,Captions available
2,Commentary available
3,Co-op
4,Cross-Platform Multiplayer
5,Full controller support
6,In-App Purchases
7,Local Co-op
8,Local Multi-Player
9,Multi-player
10,Online Co-op
11,Online Multi-Player
12,Partial Controller Support
13,Shared/Split Screen
14,Single-player
15,Steam Achievements
16,Steam Cloud
17,Steam Leaderboards
18,Steam Trading Cards
19,Steam Workshop
20,VR Support
