GameReviewsId,GameId,positiveRatings,negativeRatings
337,13530,365,109
338,13540,371,106
339,13560,900,147
340,13570,1777,140
341,13580,356,454
342,13600,831,122
343,13620,34,2
344,15000,80,79
345,15080,239,80
346,15100,5743,1162
347,15120,2582,456
348,15130,1823,186
349,15160,76,38
350,15170,1258,183
351,15190,624,100
352,15200,234,128
353,15210,685,113
354,15240,70,24
355,15270,272,40
356,15300,536,45
357,15320,1287,185
358,15370,759,66
359,15380,84,21
360,15390,823,98
361,15400,89,21
362,15500,402,135
363,15520,547,103
364,15560,747,252
365,15620,5626,755
366,15700,2739,442
367,15710,806,48
368,15740,437,155
369,15750,759,139
370,15800,1,1
371,15900,92,29
372,15910,6,3
373,15920,7,14
374,15930,52,14
375,15960,73,35
376,15970,29,14
377,16000,20,29
378,16020,30,23
379,16030,57,21
380,16040,29,14
381,16060,26,25
382,16100,20,7
383,16110,11,3
384,16120,48,5
385,16130,35,8
386,16180,32,7
387,16200,20,7
388,16450,3274,509
389,16500,10,1
390,16600,169,33
391,16620,21,13
392,16710,308,110
393,16720,1219,832
394,16730,1095,1000
395,16810,330,95
396,16900,599,143
397,17080,6470,1738
398,17100,180,38
399,17120,54,13
400,17140,113,38
401,17180,15,6
402,17300,6075,1277
403,17330,1694,312
404,17390,15101,2014
405,17410,17880,2341
406,17430,2351,1081
407,17440,481,100
408,17450,6207,468
409,17460,10107,666
410,17470,9136,1049
411,17480,4390,855
412,17500,5267,914
413,17570,3839,582
414,17710,1675,441
415,17740,663,115
416,18000,394,42
417,18020,118,23
418,18040,540,34
419,18050,125,18
420,18070,149,37
421,18120,190,48
422,18300,297,101
423,18400,97,108
424,18420,98,24
425,18470,53,23
426,18480,53,37
427,18500,3307,113
428,18600,12,10
429,18700,735,327
430,18820,652,173
431,19000,480,437
432,19020,16,8
433,19030,70,22
434,19080,1,13
435,19200,226,190
436,19320,6,8
437,19500,16,47
438,19800,303,53
439,19830,811,71
440,19900,5292,1739
441,19980,948,266
442,20200,6,10
443,20510,5550,903
444,20530,1327,151
445,20540,1337,101
446,20550,354,313
447,20570,1645,164
448,20700,50,15
449,20710,55,12
450,20820,963,64
451,20900,26380,4217
452,20920,36427,4710
453,21000,1050,242
454,21010,227,120
455,21030,97,51
456,21090,6371,438
457,21100,5349,2030
458,21130,1672,460
459,21300,19,8
460,21400,10,5
461,21500,5,3
462,21640,110,34
463,21660,295,126
464,21670,649,247
465,21680,453,287
466,21690,9250,1618
467,21780,367,46
468,21800,276,108
469,21980,1121,232
470,22000,3455,237
471,22100,3205,291
472,22120,1396,79
473,22130,220,48
474,22180,1660,164
475,22200,1980,356
476,22230,2604,244
477,22300,9921,2709
478,22310,466,240
479,22320,9571,540
480,22330,13827,826
481,22350,3493,2331
482,22370,17742,4495
483,22380,66756,3149
484,22450,498,213
485,22500,125,19
486,22600,2478,430
487,22610,776,307
488,22650,478,226
489,22670,242,90
490,23150,13,5
491,23300,102,64
492,23380,124,113
493,23400,191,45
494,23420,123,52
495,23450,354,138
496,23460,83,19
497,23490,1338,176
498,23500,120,136
499,23530,731,95
500,23600,69,24
501,23700,139,102
502,24010,8573,5336
503,24200,10138,2654
504,24240,34645,2533
505,24400,307,113
506,24410,13,11
507,24420,1008,133
508,24460,13,20
509,24480,188,169
510,24640,14,29
511,24650,13,17
512,24670,498,364
513,24720,1943,453
514,24740,9739,1487
515,24780,3110,959
516,24790,2292,295
517,24800,1449,362
518,24810,1070,76
519,24840,1725,461
520,24870,1101,415
521,24960,23093,3877
522,24980,10675,542
523,25000,3200,1315
524,25010,321,98
525,25500,63,50
526,25600,167,25
527,25620,58,12
528,25700,198,38
529,25800,1191,245
530,25830,1018,89
531,25850,76,29
532,25890,3298,992
533,25900,1290,139
534,25910,138,36
535,25930,45,48
536,25980,305,130
537,25990,326,20
538,26000,161,36
539,26300,13,31
540,26800,6529,386
541,26900,668,109
542,27000,502,177
543,27020,305,199
544,27050,53,44
545,27200,14,10
546,27330,132,209
547,27400,111,63
548,27600,23,2
549,27800,36,17
550,27810,36,9
551,27900,88,150
552,27920,91,94
553,27940,206,406
554,28000,2822,1919
555,29120,53,26
556,29130,178,12
557,29160,96,28
558,29180,857,105
559,29800,3277,868
560,29900,337,96
561,31270,1574,214
562,31300,11,19
563,31800,15,9
564,31810,50,4
565,31820,35,6
566,31830,66,7
567,31840,32,2
568,31850,34,4
569,31860,24,3
570,31870,10,12
571,31880,28,2
572,31890,20,3
573,31900,19,7
574,31910,26,6
575,31920,19,6
576,31930,27,9
577,31980,18,9
578,32000,0,13
579,32110,43,13
580,32120,24,18
581,32140,89,40
582,32150,303,6
583,32160,244,44
584,32200,81,45
585,32310,121,32
586,32330,305,87
587,32340,306,41
588,32350,221,235
589,32360,2156,115
590,32370,11569,1590
591,32380,777,315
592,32390,366,192
593,32400,1501,171
594,32410,37,16
595,32420,166,279
596,32430,2287,1389
597,32440,3033,256
598,32450,163,58
599,32460,1194,63
600,32470,6526,396
601,32500,1880,1348
602,32510,825,140
603,32610,50,36
604,32620,220,24
605,32630,166,26
606,32640,121,11
607,32650,58,14
608,32660,41,14
609,32670,258,23
610,32680,167,17
611,32710,27,8
612,32720,36,13
613,32730,47,27
614,32740,33,8
615,32750,93,16
616,32760,102,15
617,32770,121,17
618,32900,112,65
619,33100,815,92
620,33110,150,79
621,33120,995,84
622,33130,410,73
623,33180,291,85
624,33230,14861,2639
625,33320,511,263
626,33390,26,7
627,33460,1356,750
628,33520,412,60
629,33570,289,86
630,33600,432,51
631,33610,181,167
632,33620,228,64
633,33650,299,37
634,33660,21,7
635,33670,166,134
636,33680,955,92
637,33760,1,4
638,33770,154,37
639,33790,16,13
640,33900,1728,357
641,33930,17683,1519
642,33950,151,56
643,33980,78,49
644,33990,83,86
645,34010,3113,785
646,34030,8540,907
647,34190,614,173
648,34410,260,42
649,34420,55,57
650,34500,31,7
651,34600,270,98
652,34630,6,2
653,34640,11,2
654,34800,46,23
655,34810,80,26
656,34820,373,101
657,34830,2143,1728
658,34870,6775,2724
659,34900,10465,2981
660,34920,49,154
661,35000,1612,270
662,35070,58,28
663,35130,2506,237
664,35140,20297,865
665,35300,73,26
666,35310,90,44
667,35320,329,67
668,35450,26922,2274
669,35460,606,210
670,35480,619,177
671,35600,44,37
672,35700,9448,407
673,35720,16369,706
674,35800,126,22
675,36000,184,111
676,36100,43,2
677,36130,4,1
678,36180,28,11
679,36210,11,3
680,36240,7,0
681,36300,13,5
682,36310,11,1
683,36320,4,3
684,36900,0,2
685,36910,3,8
686,37000,581,126
687,37010,128,72
688,37030,122,43
689,37100,94,39
690,37210,51,23
691,37220,27,9
692,37230,13,2
693,37240,26,66
694,37260,50,3
695,37270,20,0
696,37280,13,3
697,37300,8,5
698,37310,4,10
699,37320,2,3
700,37330,3,1
701,37340,8,0
702,37370,3,1
703,37380,5,6
704,37390,12,1
705,37400,494,118
706,37500,33,9
707,37600,821,85
708,37700,158,63
709,37800,24,13
710,37960,19,3
711,38000,20,2
712,38070,11,1
713,38080,11,2
714,38090,3,0
715,38100,2,0
716,38110,4,3
717,38120,19,2
718,38130,17,2
719,38140,16,1
720,38150,7,1
721,38160,2,0
722,38170,16,2
723,38180,6,0
724,38190,4,5
725,38210,273,66
726,38230,66,95
727,38400,6983,643
728,38410,4758,321
729,38420,847,210
730,38430,163,42
731,38450,138,45
732,38460,95,19
733,38490,47,16
734,38600,2147,207
735,38700,1660,226
736,38720,1069,117
737,38740,1714,148
738,39000,9867,1166
739,39110,156,44
740,39120,6885,2326
741,39140,11722,878
742,39150,5323,682
743,39190,1179,397
744,39200,813,343
745,39210,9808,2107
746,39500,2962,728
747,39510,3809,475
748,39520,175,75
749,39540,694,149
750,39560,90,181
751,39630,151,57
752,39640,106,35
753,39650,385,196
754,39660,109,49
755,39670,611,226
756,39680,1944,482
757,39690,735,763
758,39800,2093,272
759,39900,14,15
760,40100,5336,903
761,40200,6,2
762,40210,10,0
763,40300,3848,585
764,40320,88,13
765,40330,135,32
766,40340,60,17
767,40350,211,26
768,40380,859,217
769,40390,2987,891
770,40400,1109,205
771,40420,130,66
772,40500,14,42
773,40700,5437,264
774,40720,716,149
775,40930,323,42
776,40950,2992,199
777,40970,4079,170
778,40980,404,123
779,40990,1727,180
780,41000,3950,269
781,41070,15574,1977
782,41100,1051,514
783,41300,1540,128
784,41400,8,20
785,41500,3825,317
786,41600,34,36
787,41660,7,7
788,41680,3,9
789,41700,10172,470
790,41740,260,72
791,41800,505,168
792,41900,644,188
793,42000,9,5
794,42120,1471,545
795,42140,169,83
796,42170,429,329
797,42210,48,23
798,42220,48,8
799,42230,22,8
800,42500,232,152
801,42670,2766,227
802,42700,14201,1839
803,42810,59,25
804,42850,180,31
805,42890,355,46
806,42910,20912,1964
807,42920,41,72
808,42930,8,3
809,42940,4,3
810,42950,9,2
811,42960,4743,632
812,42980,88,41
813,42990,335,448
814,43000,481,310
815,43100,115,30
816,43190,507,81
817,43500,70,85
818,43600,46,5
819,44100,73,11
820,44350,11953,3009
821,44360,232,108
822,44600,43,28
823,44680,11,1
824,44690,201,24
825,45000,293,30
826,45100,1342,265
827,45300,314,148
828,45400,802,69
829,45410,154,115
830,45420,10,1
831,45450,462,45
832,45700,1620,144
833,45710,218,230
834,45720,134,95
835,45730,130,139
836,45740,2713,934
837,45750,998,504
838,45760,8247,1141
839,45770,1387,376
840,46000,68,29
841,46200,54,21
842,46250,169,71
843,46260,312,89
844,46270,182,42
845,46280,42,52
846,46290,116,86
847,46340,86,50
848,46350,31,30
849,46360,81,42
850,46370,165,175
851,46380,36,44
852,46400,106,153
853,46410,348,175
854,46440,84,204
855,46450,217,140
856,46480,431,98
857,46490,123,155
858,46500,2092,260
859,46510,862,156
860,46520,167,119
861,46540,258,410
862,46550,97,87
863,46570,103,87
864,46600,40,12
865,46700,9,30
866,46710,15,21
867,46720,3,12
868,46730,10,29
869,46740,40,88
870,46750,109,63
871,46760,6,13
872,46770,195,57
873,46790,14,12
874,46830,9,17
875,46840,3,12
876,46850,29,17
877,47110,2,3
878,47120,2,0
879,47130,5,2
880,47400,971,2385
881,47410,4886,2609
882,47700,378,1712
883,47730,92,7
884,47780,8943,493
885,47790,3209,1370
886,47800,405,214
887,47810,8808,726
888,47870,11405,2775
889,47890,11679,2493
890,47920,1071,629
891,48000,30321,1994
892,48110,516,752
893,48150,4,1
894,48190,6676,929
895,48240,5653,3686
896,48700,75872,2213
897,48720,6236,1055
898,48800,676,794
899,48950,399,68
900,49000,24,6
901,49300,60,74
902,49320,32,24
903,49470,705,95
904,49520,144595,11021
905,49600,6296,328
906,49800,95,148
907,49810,117,25
908,49900,177,83
909,50000,179,10
910,50130,31445,1855
911,50300,32361,2613
912,50510,65,93
913,50910,12,0
914,50920,8,4
915,50930,2,3
916,50940,5,1
917,50960,17,3
918,50970,15,6
919,50980,9,3
920,50990,24,1
921,51000,16,8
922,51010,33,15
923,51020,5,1
924,51030,6,1
925,51060,87,13
926,55000,166,25
927,55040,1397,180
928,55100,5506,3685
929,55110,2674,1005
930,55140,1599,359
931,55150,9847,998
932,55230,44810,1877
933,57000,87,9
934,57200,412,41
935,57300,20222,1199
936,57620,153,129
937,57640,1131,108
938,57650,214,266
939,57680,473,208
940,57690,8740,827
941,57700,98,42
942,57740,730,345
943,57800,79,92
944,57900,4433,2243
945,58200,249,31
946,58230,81,16
947,58400,46,83
948,58520,675,228
949,58550,201,420
950,58560,191,34
951,58570,352,59
952,58610,1892,574
953,60340,39,20
954,60350,80,11
955,60600,30,22
956,60700,9,25
957,60800,66,69
958,61100,171,53
959,61310,140,44
960,61500,334,98
961,61510,105,28
962,61520,225,35
963,61600,432,65
964,61700,1293,157
965,61730,256,14
966,62000,406,36
967,62100,564,39
968,63000,673,168
969,63110,139,59
970,63200,720,205
971,63500,572,160
972,63610,288,103
973,63650,68,18
974,63660,155,80
975,63700,616,140
976,63710,3058,490
977,63800,225,159
978,63900,115,28
979,63910,492,47
980,63940,399,247
981,63960,50,76
982,64000,2881,416
983,65070,56,55
984,65080,87,30
985,65270,144,27
986,65400,87,17
987,65500,84,63
988,65530,125,85
989,65540,3396,523
990,65560,206,196
991,65600,247,254
992,65610,119,225
993,65710,297,59
994,65730,340,260
995,65740,362,442
996,65780,548,209
997,65790,3195,942
998,65800,10693,932
999,65930,6661,2923
1000,65980,9555,8224
1001,67000,331,114
1002,67370,11992,1234
1003,70000,12222,2367
1004,70100,598,308
1005,70110,192,148
1006,70120,176,298
1007,70200,68,22
1008,70210,147,29
1009,70300,6719,268
1010,70400,5047,183
1011,70420,440,148
1012,70500,33,11
1013,70600,2188,323
1014,70620,400,88
1015,70640,319,53
1016,70650,102,101
1017,70660,140,184
1018,70900,229,44
1019,71000,322,85
1020,71230,1240,273
1021,71240,325,62
1022,71260,687,89
1023,71340,6921,589
1024,72000,680,107
1025,72400,245,80
1026,72850,237303,14951
1027,72900,139,77
1028,73010,605,179
1029,73060,32,68
1030,73170,1075,144
1031,73190,35,44
1032,73210,205,110
1033,73220,113,62
1034,78000,2670,126
1035,80000,46,113
1036,80200,267,80
1037,80300,109,38
1038,80310,1199,128
1039,80330,848,107
1040,80340,364,27
1041,80350,298,14
1042,80360,312,11
1043,90200,338,68
1044,90400,59,13
1045,91100,771,98
1046,91200,3300,481
1047,91330,434,275
1048,91600,2552,296
1049,91700,4459,906
1050,91800,77,9
1051,91810,21,7
1052,91900,1219,225
1053,92000,1270,827
1054,92100,1107,673
1055,92200,130,8
1056,92210,146,29
1057,92220,124,22
1058,92300,564,253
1059,92400,36,13
1060,92600,121,39
1061,92700,36,79
1062,92800,3700,324
1063,92900,84,82
1064,93200,837,158
1065,94000,445,371
1066,94200,1955,103
1067,94300,968,85
1068,94400,5480,758
1069,94590,588,86
1070,94620,172,14
1071,95000,120,35
1072,95300,723,212
1073,95400,3125,211
1074,95700,823,52
1075,95900,167,111
1076,96000,3923,567
1077,96100,7553,1224
1078,96200,181,115
1079,96800,167,105
1080,96900,25,15
1081,97000,1540,158
1082,97100,707,217
1083,97110,36,7
1084,97120,42,5
1085,97130,91,8
1086,97330,921,130
1087,98100,402,182
1088,98200,1990,430
1089,98300,1032,108
1090,98400,3225,656
1091,98500,134,121
1092,98600,197,53
1093,98800,3879,235
1094,98900,141,91
1095,99100,97,283
1096,99120,29,20
1097,99300,1773,297
1098,99400,156,166
1099,99410,40,81
1100,99700,748,100
1101,99900,15666,3202
1102,99910,961,239
1103,100980,75,5
1104,102200,257,76
1105,102400,20,9
1106,102500,8523,1201
1107,102600,5371,180
1108,102810,87,20
1109,102840,1707,373
1110,102850,199,74
1111,104000,148,51
